1980,1981
1952,1982
1947,2000
1960,1964
1929,1967
1960,1989
1908,1955
1945,1957
1972,1996
1901,1942
1919,1955
1914,1968
1941,1996
1985,1995
1911,1992
1913,1992
1965,1972
1972,1973
1911,1936
1931,1941
1903,1991
1929,1958
1987,2000
1902,1995
1904,1959
1914,1937
1904,1923
1918,1928
1922,1946
1903,1958
1913,1916
1949,1985
1922,1982
1956,1994
1959,1988
1934,1962
1964,1978
1920,1978
1922,1950
1909,1972
1908,1926
1923,1950
1913,1951
1959,1969
1972,1973
1917,1987
1966,1989
1970,1972
1927,1989
1947,1963
1914,1998
1908,1993
1928,1961
1911,1970
1942,1951
1920,1978
1943,1951
1927,1964
1995,1997
1923,1968
1940,1968
1954,1956
1906,1925
1926,1995
1953,1990
1942,1967
1950,1987
1948,1960
1930,1979
1930,1959
1972,1980
1907,1922
1922,1935
1916,1987
1909,1931
1984,2000
1938,1950
1955,1957
1963,1982
1916,1952
1971,1994
1957,1983
1943,1944
1904,1923
1964,1973
1944,1953
1943,1960
1966,1967
1953,1996
1927,1983
1962,1967
1912,1926
1904,1982
1968,1969
1920,1963
1933,1984
1914,1967
1958,1991
1910,1996
1981,1983
